What are your admission requirements or cut-off points for ASD or EPD or ESD or Information Systems Technology and Design pillar?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for ASD or EPD or ESD or ISTD pillar?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for ASD or EPD or ESD or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
Can a local polytechnic student apply with only 5 semesters results?,"If you are currently in your final polytechnic semester, you can apply by submitting results from your first five semesters during the application window, and upload the results from your final semester when they are available."
Can polytechnic student apply?,"If you are currently in your final polytechnic semester, you can apply by submitting results from your first five semesters during the application window, and upload the results from your final semester when they are available."
Will those applying with a full set of Poly results have an advantage?,"There will not be any advantage accorded polytechnic students with five semesters or full diploma results."
Is SAT a prerequisite for admission?,"While SAT is not a prerequisite for those applying with local qualifications or with final results of your international qualification, you can opt to supplement your application with SAT subject test scores in Mathematics Level II and Physics if you have not done as well in those subjects."
When must I submit my SAT results?,"If you are holding an international qualification and applying with your latest semester/predicted/preliminary results, you will be required to submit your SAT subject test scores in Mathematics Level II and Physics along with your admission application. Additionally, you will need to have completed your final examinations by April of the intake year so that you can join our start of term in mid of May."
What are the Mother Tongue requirements for Singapore Citizens or Permanent Residents?,"All SCs and SPRs are required to fulfil the MTL requirement for admission into full-time publicly-funded undergraduate programmes in the local Autonomous Universities (AUs). You may apply for admission with no prejudice to your application even if you have not fulfilled the MTL requirement, but will be required to fulfil the MTL requirement during your course of study if accepted into the programme. "
When can I start applying for financial aid?,"Upon being shortlisted for an admissions interview, you will be able to apply for financial aid. However, if you are a returning NSmen, you will receive a notification to apply for financial aid along with your Pre-Matriculation Online Exercise in the year that you are commencing your studies."
When do I start repaying the study loan?,"Repayment of study loan can be made in one lump sum or in monthly instalments commencing no later than 6 months after graduation or on securing employment, whichever is earlier."
How do I apply and what are the admission requirements for SUTD-Duke-NUS Special Track or SUTD Honours and Research Programme or STEP?,"You will need to indicate your intention to apply for either of these special programmes in the online application via SUTD Admissions Portal, along with a personal statement/response. You can apply for a maximum of two special programmes, and will be required to rank the programmes in order of your preference. As the selection requirement and process for the special programmes differ, you will be informed of the special programme you have been shortlisted for prior to the interview."
How do I apply and what are the admission requirements for SUTD-Duke-NUS Special Track or Honours and Research programme or STEP?,"You will need to indicate your intention to apply for either of these special programmes in the online application via SUTD Admissions Portal, along with a personal statement/response. You can apply for a maximum of two special programmes, and will be required to rank the programmes in order of your preference. As the selection requirement and process for the special programmes differ, you will be informed of the special programme you have been shortlisted for prior to the interview."
How do I apply and what are the admission requirements for SUTD-Duke-NUS Special Track or Honours and Research Program or STEP?,"You will need to indicate your intention to apply for either of these special programmes in the online application via SUTD Admissions Portal, along with a personal statement/response. You can apply for a maximum of two special programmes, and will be required to rank the programmes in order of your preference. As the selection requirement and process for the special programmes differ, you will be informed of the special programme you have been shortlisted for prior to the interview."
How do I apply and what are the admission requirements for SUTD-Duke-NUS Special Track or SHARP or STEP?,"You will need to indicate your intention to apply for either of these special programmes in the online application via SUTD Admissions Portal, along with a personal statement/response. You can apply for a maximum of two special programmes, and will be required to rank the programmes in order of your preference. As the selection requirement and process for the special programmes differ, you will be informed of the special programme you have been shortlisted for prior to the interview."
"If I have not been shortlisted or were not successful in my application for the special programmes, affect admission into the university?","In the event that you are not successful in your application for the special programmes, you will automatically be considered for our single degree programmes, and will not be disadvantaged."
I received the Tuition Grant for my polytechnic course. Am I eligible to take up another Tuition Grant for my undergraduate degree in SUTD?,"You will be eligible to take up the Tuition Grant for your undergraduate degree in SUTD regardless if you took Tuition Grant for Polytechnic."
Does SUTD offer any part-time courses?,"We do not offer any part-time undergraduate courses. You may however consider open enrolment courses offered by the SUTD Academy."
"How many intakes does SUTD have each year? And related to that, when do classes start?","We have one intake in May of each academic year. From Academic Year (AY) 2022 onwards, the undergraduate intake will be in September of the year. More information on the academic calendar can be found here."
Is there credit transfer or waiver or exemption of modules for polytechnic students or students transferring from other universities?,"No, due to the unique structure and rigour of the SUTD curriculum, all students will need to enrol in and go through the same programme in the freshman year and first term of the sophomore year (Freshmore) before choosing a major thereafter. SUTD does not grant any exemption of modules, unless you have taken the SUTD course previously under a special arrangement."
Do any of the courses offer direct honours?,"The undergraduate degree programmes in SUTD are all direct honours; therefore you will be awarded an honours if you meet the requirement for the respective honours classification, otherwise it will just be a degree (without honours)."
Are students required to participate in internships while at SUTD?,"All SUTD undergraduates are required to complete a 16-week internship. https://sutd.edu.sg/Student-Development/Career-Services/Student/Internships"
Are students required to do in internships?,"All SUTD undergraduates are required to complete a 16-week internship. https://sutd.edu.sg/Student-Development/Career-Services/Student/Internships"
Internship prospects,"All SUTD undergraduates are required to complete a 16-week internship. https://sutd.edu.sg/Student-Development/Career-Services/Student/Internships"
What are the tuition fees?,"Information on our tuition fees can be found at: https://sutd.edu.sg/fees"
What are the school fees?,"Information on our tuition fees can be found at: https://sutd.edu.sg/fees"
Is there an application fee?,"SUTD does not charge any fees to process your application."
May I submit my testimonial instead of the online recommendation form?,"You may upload your testimonial under the ‘testimonial’ section. However, we would still require you to provide us with the contact details of at least one teacher/lecturer who had taught you previously."
What do I need to prepare before I start my online application?,"The online application guide can be found here. In general, the application should take around 15-20 minutes of your time to complete. You can also save your application and submit it when ready, before the application closing deadline."
When will I be notified to select my interview slot?,"In general, if you are shortlisted for an interview, you will be notified within a month or so upon the submission of your online application form. During the peak admissions period between March and April, there may be a slight delay owing to the high volume, and we seek your understanding and patience."
How do I check my application status?,"At any point upon your application submission, you may check your application status here."
What can I expect during an admissions/scholarship interview?,"Depending on the programmes/scholarships you have applied and are shortlisted for, the interview format may vary. Some interviews are conducted in groups of 3 or 4 candidates to 1 or 2 interviewers; while others are 1-to-1. Regardless, the interview aims to help us get to know you better beyond what you have indicated in your online application. Interviewers seek to understand your motivation for applying to the university, and to assess your ‘fit’ for our unique learning environment."
How important is this in determining my chance of securing an admission placement or scholarship?,"For scholarships, interviewers will be looking out for outstanding achievements in both academic and co-curricular activities, as well as your service and desire to help the community – which may set you apart from the competition. The interviewer’s assessment, along with your application profile, will be fully reviewed by the Admissions Selection Committee, who will make the final decision on your admission placement and/or scholarship."
I had not been successful in my application to SUTD in the last admissions exercise. Can I apply again this year with the same results?,"You will not be penalised for re-applying in the new admissions exercise and your new application will be assessed in competition with the pool of applicants applying this time round. However, we do recommend that you consider supplementing your new application with additional relevant information not presented previously to improve your chances of being considered for admission."
Computer science course,"ISTD pillar focuses on information and computing technologies and its relationship with the world. It integrates the traditional disciplines of Computer Science and Information Systems while focusing on computing, systems, and intelligence. https://istd.sutd.edu.sg/files/2019-istd-brochure.pdf"
What is Information Systems Technology and Design about?,"ISTD pillar focuses on information and computing technologies and its relationship with the world. It integrates the traditional disciplines of Computer Science and Information Systems while focusing on computing, systems, and intelligence. https://istd.sutd.edu.sg/files/2019-istd-brochure.pdf"
What is Information Systems Technology and Design pillar about?,"ISTD pillar focuses on information and computing technologies and its relationship with the world. It integrates the traditional disciplines of Computer Science and Information Systems while focusing on computing, systems, and intelligence. https://istd.sutd.edu.sg/files/2019-istd-brochure.pdf"
What is ISTD pillar about?,"ISTD pillar focuses on information and computing technologies and its relationship with the world. It integrates the traditional disciplines of Computer Science and Information Systems while focusing on computing, systems, and intelligence. https://istd.sutd.edu.sg/files/2019-istd-brochure.pdf"
What is ISTD about?,"ISTD pillar focuses on information and computing technologies and its relationship with the world. It integrates the traditional disciplines of Computer Science and Information Systems while focusing on computing, systems, and intelligence. https://istd.sutd.edu.sg/files/2019-istd-brochure.pdf"
How does Information Systems Technology and Design compare to other pillars?,"ISTD focuses on the design of software and software/hardware products and systems; not only hardware products. ISTD offers knowledge and skill set that is relevant to ALL industries in a modern society. Most ISTD courses are very hands on and have less mathematical content than most ESD courses."
How does Information Systems Technology and Design pillar compare to other pillars?,"ISTD focuses on the design of software and software/hardware products and systems; not only hardware products. ISTD offers knowledge and skill set that is relevant to ALL industries in a modern society. Most ISTD courses are very hands on and have less mathematical content than most ESD courses."
How does ISTD pillar compare to other pillars?,"ISTD focuses on the design of software and software/hardware products and systems; not only hardware products. ISTD offers knowledge and skill set that is relevant to ALL industries in a modern society. Most ISTD courses are very hands on and have less mathematical content than most ESD courses."
How does ISTD compare to other pillars?,"ISTD focuses on the design of software and software/hardware products and systems; not only hardware products. ISTD offers knowledge and skill set that is relevant to ALL industries in a modern society. Most ISTD courses are very hands on and have less mathematical content than most ESD courses."
Which focus track of Information Systems Technology and Design has the highest graduate employment rate?,"All ISTD tracks are in demand. Also, the precise demand changes. Currently graduates with a good security and communications background and software design skills are in big demand."
Which focus track of Information Systems Technology and Design pillar has the highest graduate employment rate?,"All ISTD tracks are in demand. Also, the precise demand changes. Currently graduates with a good security and communications background and software design skills are in big demand."
Which focus track of ISTD pillar has the highest graduate employment rate?,"All ISTD tracks are in demand. Also, the precise demand changes. Currently graduates with a good security and communications background and software design skills are in big demand."
Which focus track of ISTD has the highest graduate employment rate?,"All ISTD tracks are in demand. Also, the precise demand changes. Currently graduates with a good security and communications background and software design skills are in big demand."
What is the average pay of Information Systems Technology and Design graduates?,"The average and median salary of ISTD graduates is the highest among all pillars, and graduates in computing, at $4400 (2019)"
What is the average pay of Information Systems Technology and Design pillar graduates?,"The average and median salary of ISTD graduates is the highest among all pillars, and graduates in computing, at $4400 (2019)"
What is the average pay of ISTD pillar graduates?,"The average and median salary of ISTD graduates is the highest among all pillars, and graduates in computing, at $4400 (2019)"
What is the average pay of ISTD graduates?,"The average and median salary of ISTD graduates is the highest among all pillars, and graduates in computing, at $4400 (2019)"
Is Information Systems Technology and Design all about coding?,"ISTD is not all about coding. In ISTD, you learn algorithms, techniques to secure complex systems, methods for reliable data communications, algorithms for machine learning, analysis of algorithms, logic for Artificial Intelligence, and many more. Implementation of any technique that requires computing, does require design of computer programs, and hence coding."
Is Information Systems Technology and Design pillar all about coding?,"ISTD is not all about coding. In ISTD, you learn algorithms, techniques to secure complex systems, methods for reliable data communications, algorithms for machine learning, analysis of algorithms, logic for Artificial Intelligence, and many more. Implementation of any technique that requires computing, does require design of computer programs, and hence coding."
Is ISTD pillar all about coding?,"ISTD is not all about coding. In ISTD, you learn algorithms, techniques to secure complex systems, methods for reliable data communications, algorithms for machine learning, analysis of algorithms, logic for Artificial Intelligence, and many more. Implementation of any technique that requires computing, does require design of computer programs, and hence coding."
Is ISTD all about coding?,"ISTD is not all about coding. In ISTD, you learn algorithms, techniques to secure complex systems, methods for reliable data communications, algorithms for machine learning, analysis of algorithms, logic for Artificial Intelligence, and many more. Implementation of any technique that requires computing, does require design of computer programs, and hence coding."
What is Engineering Systems and Design?,"Engineering Systems and Design (ESD) is one of the academic pillars at SUTD. The focus of ESD is the study of large scale complex systems whose performance and function depend both on their technology and on the socio-economic context within which they operate. https://esd.sutd.edu.sg/files/2019-esd-brochure.pdf"
What is Engineering Systems and Design pillar?,"Engineering Systems and Design (ESD) is one of the academic pillars at SUTD. The focus of ESD is the study of large scale complex systems whose performance and function depend both on their technology and on the socio-economic context within which they operate. https://esd.sutd.edu.sg/files/2019-esd-brochure.pdf"
What is ESD pillar?,"Engineering Systems and Design (ESD) is one of the academic pillars at SUTD. The focus of ESD is the study of large scale complex systems whose performance and function depend both on their technology and on the socio-economic context within which they operate. https://esd.sutd.edu.sg/files/2019-esd-brochure.pdf"
What is ESD?,"Engineering Systems and Design (ESD) is one of the academic pillars at SUTD. The focus of ESD is the study of large scale complex systems whose performance and function depend both on their technology and on the socio-economic context within which they operate. https://esd.sutd.edu.sg/files/2019-esd-brochure.pdf"
How does Engineering Systems and Design differ from the other pillars?,"In general, ESD focuses on the logic that organises and coordinates complex systems. This logic is rooted in modelling, analysing, and optimising the systems toward an efficient, productive, and cost-effective solution."
How does Engineering Systems and Design pillar differ from the other pillars?,"In general, ESD focuses on the logic that organises and coordinates complex systems. This logic is rooted in modelling, analysing, and optimising the systems toward an efficient, productive, and cost-effective solution."
How does ESD pillar differ from the other pillars?,"In general, ESD focuses on the logic that organises and coordinates complex systems. This logic is rooted in modelling, analysing, and optimising the systems toward an efficient, productive, and cost-effective solution."
How does ESD differ from the other pillars?,"In general, ESD focuses on the logic that organises and coordinates complex systems. This logic is rooted in modelling, analysing, and optimising the systems toward an efficient, productive, and cost-effective solution."
How does Engineering Systems and Design differ from other programmes?,"ESD is most similar to an industrial engineering programme. Industrial engineering (IE) also has a theme of modelling, simulating, and optimising systems. ESD focuses on cultivating the understanding of how these surrounding factors influence the performance of these traditional technical methods and how these two areas can be melded together to yield more robust and efficient solutions."
How does Engineering Systems and Design pillar differ from other programmes?,"ESD is most similar to an industrial engineering programme. Industrial engineering (IE) also has a theme of modelling, simulating, and optimising systems. ESD focuses on cultivating the understanding of how these surrounding factors influence the performance of these traditional technical methods and how these two areas can be melded together to yield more robust and efficient solutions."
How does ESD pillar differ from other programmes?,"ESD is most similar to an industrial engineering programme. Industrial engineering (IE) also has a theme of modelling, simulating, and optimising systems. ESD focuses on cultivating the understanding of how these surrounding factors influence the performance of these traditional technical methods and how these two areas can be melded together to yield more robust and efficient solutions."
How does ESD differ from other programmes?,"ESD is most similar to an industrial engineering programme. Industrial engineering (IE) also has a theme of modelling, simulating, and optimising systems. ESD focuses on cultivating the understanding of how these surrounding factors influence the performance of these traditional technical methods and how these two areas can be melded together to yield more robust and efficient solutions."
What is the difference between Engineering Systems and Design and Industrial Engineering?,"Industrial Engineering (IE) is a subset of ESD and a student could choose to build a profile similar to that of an IE. ESD is broader because we embrace a wider range of applications and emphasise more economics, public policy and management."
What is the difference between Engineering Systems and Design pillar and Industrial Engineering?,"Industrial Engineering (IE) is a subset of ESD and a student could choose to build a profile similar to that of an IE. ESD is broader because we embrace a wider range of applications and emphasise more economics, public policy and management."
What is the difference between ESD pillar and Industrial Engineering?,"Industrial Engineering (IE) is a subset of ESD and a student could choose to build a profile similar to that of an IE. ESD is broader because we embrace a wider range of applications and emphasise more economics, public policy and management."
What is the difference between ESD and Industrial Engineering?,"Industrial Engineering (IE) is a subset of ESD and a student could choose to build a profile similar to that of an IE. ESD is broader because we embrace a wider range of applications and emphasise more economics, public policy and management."
How is design incorporated into Engineering Systems and Design?,"ESD gives you the tools to model, analyse, and optimise real-world systems with a goal that our students will design robust infrastructures and design management policies that lead to increased efficiency, production, revenue, and performance in these complex systems. In the pillar years you will engage in course design projects and case studies that facilitate this kind of thinking."
How is design incorporated into Engineering Systems and Design pillar?,"ESD gives you the tools to model, analyse, and optimise real-world systems with a goal that our students will design robust infrastructures and design management policies that lead to increased efficiency, production, revenue, and performance in these complex systems. In the pillar years you will engage in course design projects and case studies that facilitate this kind of thinking."
How is design incorporated into ESD pillar?,"ESD gives you the tools to model, analyse, and optimise real-world systems with a goal that our students will design robust infrastructures and design management policies that lead to increased efficiency, production, revenue, and performance in these complex systems. In the pillar years you will engage in course design projects and case studies that facilitate this kind of thinking."
How is design incorporated into ESD?,"ESD gives you the tools to model, analyse, and optimise real-world systems with a goal that our students will design robust infrastructures and design management policies that lead to increased efficiency, production, revenue, and performance in these complex systems. In the pillar years you will engage in course design projects and case studies that facilitate this kind of thinking."
What specialisations are available within Engineering Systems and Design?,"The ESD programme gives you the opportunity to select 60 credits from elective courses. This flexibility gives you the chance to customise your degree and specialise if you want to. One way to specialise is to follow one of the specific ESD focus tracks."
What specialisations are available within Engineering Systems and Design pillar?,"The ESD programme gives you the opportunity to select 60 credits from elective courses. This flexibility gives you the chance to customise your degree and specialise if you want to. One way to specialise is to follow one of the specific ESD focus tracks."
What specialisations are available within ESD pillar?,"The ESD programme gives you the opportunity to select 60 credits from elective courses. This flexibility gives you the chance to customise your degree and specialise if you want to. One way to specialise is to follow one of the specific ESD focus tracks."
What specialisations are available within ESD?,"The ESD programme gives you the opportunity to select 60 credits from elective courses. This flexibility gives you the chance to customise your degree and specialise if you want to. One way to specialise is to follow one of the specific ESD focus tracks."
Is there a lot of math and programming in Engineering Systems and Design?,"The foundation of the ESD curriculum is operations research, the branch of applied mathematics dealing with decision making and operations analysis. These mathematical techniques are imbedded in a variety of software packages and libraries. You must understand the mathematical principles and develop facility with software and programming to make effective use of these tools and techniques. So, both mathematics and programming are a part of the ESD curriculum."
Is there a lot of math and programming in Engineering Systems and Design pillar?,"The foundation of the ESD curriculum is operations research, the branch of applied mathematics dealing with decision making and operations analysis. These mathematical techniques are imbedded in a variety of software packages and libraries. You must understand the mathematical principles and develop facility with software and programming to make effective use of these tools and techniques. So, both mathematics and programming are a part of the ESD curriculum."
Is there a lot of math and programming in ESD pillar?,"The foundation of the ESD curriculum is operations research, the branch of applied mathematics dealing with decision making and operations analysis. These mathematical techniques are imbedded in a variety of software packages and libraries. You must understand the mathematical principles and develop facility with software and programming to make effective use of these tools and techniques. So, both mathematics and programming are a part of the ESD curriculum."
Is there a lot of math and programming in ESD?,"The foundation of the ESD curriculum is operations research, the branch of applied mathematics dealing with decision making and operations analysis. These mathematical techniques are imbedded in a variety of software packages and libraries. You must understand the mathematical principles and develop facility with software and programming to make effective use of these tools and techniques. So, both mathematics and programming are a part of the ESD curriculum."
What skills can I gain from Engineering Systems and Design?,"Fundamentally, you will graduate with an analytical mindset when dealing with problems of business and operations, supplemented by the SUTD orientation toward design. You will be experienced in working with clients and presenting your technical ideas effectively and persuasively. You will be skilled at transforming data into models and using those models to influence major decisions."
What skills can I gain from Engineering Systems and Design pillar?,"Fundamentally, you will graduate with an analytical mindset when dealing with problems of business and operations, supplemented by the SUTD orientation toward design. You will be experienced in working with clients and presenting your technical ideas effectively and persuasively. You will be skilled at transforming data into models and using those models to influence major decisions."
What skills can I gain from ESD pillar?,"Fundamentally, you will graduate with an analytical mindset when dealing with problems of business and operations, supplemented by the SUTD orientation toward design. You will be experienced in working with clients and presenting your technical ideas effectively and persuasively. You will be skilled at transforming data into models and using those models to influence major decisions."
What skills can I gain from ESD?,"Fundamentally, you will graduate with an analytical mindset when dealing with problems of business and operations, supplemented by the SUTD orientation toward design. You will be experienced in working with clients and presenting your technical ideas effectively and persuasively. You will be skilled at transforming data into models and using those models to influence major decisions."
